Dataset,K,GPUType,GPUCount,BlockSize,TotalExecutionTime(s),GPUExecutionTime(s),MemoryUsage(MB),Accuracy(%)
MNIST,5,NVIDIA A100-SXM4-40GB,1,32,4.8790,4.1234,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,32,3.9901,3.8071,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,32,13.3131,12.5874,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,32,14.4070,13.6961,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,32,19.8621,19.1822,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,32,20.5277,19.8106,1528.0000,26.9250
MNIST,5,NVIDIA A100-SXM4-40GB,1,64,4.8998,4.1213,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,64,3.9309,3.7482,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,64,14.1479,13.2948,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,64,16.8714,16.1566,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,64,19.8450,19.1557,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,64,10.7904,10.0615,1528.0000,26.9250
MNIST,5,NVIDIA A100-SXM4-40GB,1,128,5.1227,4.2960,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,128,3.9321,3.7473,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,128,14.1109,13.2795,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,128,19.2503,18.4129,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,128,27.9416,27.2716,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,128,8.7008,7.9855,1528.0000,26.9250
MNIST,5,NVIDIA A100-SXM4-40GB,1,256,5.4066,4.6918,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,256,3.8544,3.6738,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,256,14.0427,13.1705,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,256,12.6046,11.7335,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,256,44.3848,43.7020,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,256,8.4617,7.7422,1528.0000,26.9250
MNIST,5,NVIDIA A100-SXM4-40GB,1,512,6.2193,5.5042,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,512,3.8107,3.6269,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,512,14.1089,13.3997,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,512,12.5782,11.7808,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,512,86.5220,85.8188,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,512,8.3733,7.6438,1528.0000,26.9250
MNIST,5,NVIDIA A100-SXM4-40GB,1,1024,6.2669,5.3991,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,1024,3.7708,3.5844,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,1024,26.3773,25.4972,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,1024,12.6601,11.7220,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,1024,171.6768,170.9781,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,1024,18.5979,17.8743,1528.0000,26.9250

MNIST,1,NVIDIA A100-SXM4-40GB,1,256,5.4654,4.6812,182.0000,96.9100
MNIST-Batched,1,NVIDIA A100-SXM4-40GB,1,256,3.8975,3.7158,2502.0000,96.9100
CIFAR-10,1,NVIDIA A100-SXM4-40GB,1,256,13.8542,13.1462,588.0000,35.3900
CIFAR-10-Batched,1,NVIDIA A100-SXM4-40GB,1,256,12.4434,11.7290,2614.0000,35.3900
STL-10,1,NVIDIA A100-SXM4-40GB,1,256,44.3654,43.6910,530.0000,26.5125
STL-10-Batched,1,NVIDIA A100-SXM4-40GB,1,256,8.4599,7.7363,1528.0000,26.5125
MNIST,5,NVIDIA A100-SXM4-40GB,1,256,5.3674,4.6966,182.0000,96.8800
MNIST-Batched,5,NVIDIA A100-SXM4-40GB,1,256,3.8464,3.6658,2502.0000,96.8800
CIFAR-10,5,NVIDIA A100-SXM4-40GB,1,256,13.8752,13.1516,588.0000,33.9800
CIFAR-10-Batched,5,NVIDIA A100-SXM4-40GB,1,256,12.5231,11.7326,2614.0000,33.9800
STL-10,5,NVIDIA A100-SXM4-40GB,1,256,44.4023,43.7106,530.0000,26.9250
STL-10-Batched,5,NVIDIA A100-SXM4-40GB,1,256,8.4616,7.7434,1528.0000,26.9250
MNIST,25,NVIDIA A100-SXM4-40GB,1,256,5.6911,4.7048,182.0000,96.0900
MNIST-Batched,25,NVIDIA A100-SXM4-40GB,1,256,3.9379,3.7596,2502.0000,96.0900
CIFAR-10,25,NVIDIA A100-SXM4-40GB,1,256,14.0603,13.1486,588.0000,33.4700
CIFAR-10-Batched,25,NVIDIA A100-SXM4-40GB,1,256,12.5471,11.8331,2614.0000,33.4700
STL-10,25,NVIDIA A100-SXM4-40GB,1,256,44.3876,43.7064,530.0000,26.4250
STL-10-Batched,25,NVIDIA A100-SXM4-40GB,1,256,8.5146,7.7923,1528.0000,26.4250
MNIST,125,NVIDIA A100-SXM4-40GB,1,256,5.4167,4.6850,182.0000,93.9200
MNIST-Batched,125,NVIDIA A100-SXM4-40GB,1,256,4.4169,4.2357,2508.0000,93.9200
CIFAR-10,125,NVIDIA A100-SXM4-40GB,1,256,13.8564,13.1731,588.0000,30.7800
CIFAR-10-Batched,125,NVIDIA A100-SXM4-40GB,1,256,13.2289,12.2961,2620.0000,30.7800
STL-10,125,NVIDIA A100-SXM4-40GB,1,256,44.3738,43.7110,530.0000,24.4125
STL-10-Batched,125,NVIDIA A100-SXM4-40GB,1,256,8.7620,8.0386,1532.0000,24.4125
MNIST,245,NVIDIA A100-SXM4-40GB,1,256,5.5930,4.7003,182.0000,92.3800
MNIST-Batched,245,NVIDIA A100-SXM4-40GB,1,256,4.9837,4.7996,2512.0000,92.3800
CIFAR-10,224,NVIDIA A100-SXM4-40GB,1,256,14.1350,13.1641,588.0000,29.2300
CIFAR-10-Batched,224,NVIDIA A100-SXM4-40GB,1,256,13.6795,12.7449,2624.0000,29.2300
STL-10,71,NVIDIA A100-SXM4-40GB,1,256,44.4355,43.6988,530.0000,25.1000
STL-10-Batched,71,NVIDIA A100-SXM4-40GB,1,256,8.6323,7.9096,1532.0000,25.1000

MNIST,5,Tesla P100-PCIE-12GB,1,32,47.5241,46.7054,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,32,38.1705,37.8225,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,32,165.8591,162.8515,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,32,24.0371,22.5856,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,32,33.8042,30.0282,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,32,1.4715,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,64,46.7733,46.0816,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,64,40.2848,39.9414,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,64,165.0601,163.6848,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,64,61.5055,60.0635,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,64,35.4356,34.0811,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,64,1.4469,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,128,46.8190,46.2993,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,128,40.4965,40.1522,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,128,163.9482,162.5604,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,128,142.7008,141.2654,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,128,35.8706,34.5391,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,128,1.4459,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,256,48.3054,47.8363,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,256,41.2553,40.9132,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,256,157.5499,156.1884,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,256,155.8199,154.3791,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,256,62.6496,61.3231,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,256,1.4483,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,512,51.8654,50.8900,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,512,41.8516,41.3396,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,512,145.2004,143.6001,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,512,156.8298,155.3897,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,512,222.0915,220.7385,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,512,1.4513,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,1024,58.2333,57.7306,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,1024,41.4125,41.0711,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,1024,137.0615,135.7013,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,1024,157.6587,156.2169,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,1024,423.4384,422.0667,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,1024,1.4504,0.0000,1528.0000,0.0000

MNIST,1,Tesla P100-PCIE-12GB,1,256,48.3231,47.8217,182.0000,96.9100
MNIST-Batched,1,Tesla P100-PCIE-12GB,1,256,40.9517,40.6105,2502.0000,96.9100
CIFAR-10,1,Tesla P100-PCIE-12GB,1,256,157.6026,156.2164,588.0000,35.3900
CIFAR-10-Batched,1,Tesla P100-PCIE-12GB,1,256,155.8257,154.3873,2614.0000,35.3900
STL-10,1,Tesla P100-PCIE-12GB,1,256,62.6393,61.3148,530.0000,26.5125
STL-10-Batched,1,Tesla P100-PCIE-12GB,1,256,1.4478,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,256,48.3483,47.8319,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,256,40.9712,40.6291,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,256,157.5693,156.2110,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,256,156.0516,154.6097,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,256,62.6934,61.3231,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,256,1.4488,0.0000,1528.0000,0.0000
MNIST,25,Tesla P100-PCIE-12GB,1,256,48.2906,47.8206,182.0000,96.0900
MNIST-Batched,25,Tesla P100-PCIE-12GB,1,256,41.1086,40.7700,2502.0000,96.0900
CIFAR-10,25,Tesla P100-PCIE-12GB,1,256,157.5654,156.2060,588.0000,33.4700
CIFAR-10-Batched,25,Tesla P100-PCIE-12GB,1,256,156.0625,154.6212,2614.0000,33.4700
STL-10,25,Tesla P100-PCIE-12GB,1,256,62.7023,61.3473,530.0000,26.4250
STL-10-Batched,25,Tesla P100-PCIE-12GB,1,256,1.4486,0.0000,1528.0000,0.0000
MNIST,125,Tesla P100-PCIE-12GB,1,256,48.3394,47.8381,182.0000,93.9200
MNIST-Batched,125,Tesla P100-PCIE-12GB,1,256,41.6201,41.2796,2508.0000,93.9200
CIFAR-10,125,Tesla P100-PCIE-12GB,1,256,157.6528,156.2903,588.0000,30.7800
CIFAR-10-Batched,125,Tesla P100-PCIE-12GB,1,256,156.8999,155.4592,2620.0000,30.7800
STL-10,125,Tesla P100-PCIE-12GB,1,256,62.6708,61.3023,530.0000,24.4125
STL-10-Batched,125,Tesla P100-PCIE-12GB,1,256,1.4440,0.0000,1532.0000,0.0000
MNIST,245,Tesla P100-PCIE-12GB,1,256,48.3885,47.8477,182.0000,92.3800
MNIST-Batched,245,Tesla P100-PCIE-12GB,1,256,42.2830,41.9365,2512.0000,92.3800
CIFAR-10,224,Tesla P100-PCIE-12GB,1,256,157.7010,156.3140,588.0000,29.2300
CIFAR-10-Batched,224,Tesla P100-PCIE-12GB,1,256,157.6106,156.1743,2624.0000,29.2300
STL-10,71,Tesla P100-PCIE-12GB,1,256,62.6636,61.3142,530.0000,25.1000
STL-10-Batched,71,Tesla P100-PCIE-12GB,1,256,1.4529,0.0000,1532.0000,0.0000
